FID,Id,X,Y,DEM,WaterSys_Dis,Faults_Dis
165,0,12164667.366100000217557,4349077.191759999841452,1274.181818181818244,10944.419384765624272,119282.763494318176527
166,0,12164822.104199999943376,4349079.474849999882281,1276.136363636363740,10962.290576171875728,119256.825390625002910
167,0,12164976.842499999329448,4349081.756110000424087,1271.000000000000000,10982.181542968750364,119229.168749999997090
168,0,12165131.581000000238419,4349084.035520000383258,1267.250000000000000,11006.418090820312500,119201.669921875000000
169,0,12165286.319599999114871,4349086.313090000301600,1272.666666666666742,11032.996191406249636,119174.354296874997090
170,0,12165441.058399999514222,4349088.588829999789596,1272.650000000000091,11059.272216796875000,119141.319140624997090
171,0,12165595.797299999743700,4349090.862710000015795,1270.950000000000045,11087.515478515624636,119088.072591145828483
172,0,12165750.536399999633431,4349093.134759999811649,1272.166666666666742,11117.710888671874272,119058.616796874994179
173,0,12165905.275599999353290,4349095.404969999566674,1278.799999999999955,11149.842822265625728,119031.723046875005821
174,0,12166060.015000000596046,4349097.673340000212193,1278.750000000000000,11158.279134114583940,119004.344140625005821
175,0,12166214.754599999636412,4349099.939860000275075,1272.099999999999909,11198.208837890624636,118976.717578124997090
176,0,12166369.494300000369549,4349102.204549999907613,1272.500000000000000,11236.519775390625000,118949.275390625000000
177,0,12166524.234099999070168,4349104.467389999888837,1280.750000000000000,11276.695947265625364,118919.301432291671517
178,0,12166678.974199999123812,4349106.728389999829233,1284.541666666666742,11318.717773437500000,118889.543359375005821
179,0,12166833.714400000870228,4349108.987549999728799,1282.700000000000045,11362.564160156249272,118862.685156249994179
180,0,12166988.454700000584126,4349111.244869999587536,1277.799999999999955,11413.744862432065929,118835.900781250005821
181,0,12167143.195199999958277,4349113.500350000336766,1283.900000000000091,11461.490559895833940,118808.916796874997090
182,0,12167297.935799999162555,4349115.753979999572039,1284.047619047619037,11512.297314453124272,118781.340624999997090
183,0,12167452.676599999889731,4349118.005780000239611,1280.900000000000091,11516.339550781249272,118753.694940476183547
184,0,12167607.417600000277162,4349120.255730000324547,1283.047619047619037,11425.036523437500364,118691.652853260864504
185,0,12167762.158700000494719,4349122.503840000368655,1284.347826086956502,11331.503271484374636,118664.271875000005821
186,0,12167916.900000000372529,4349124.750110000371933,1287.900000000000091,11238.287155877977057,118637.287890624997090
187,0,12168071.641400000080466,4349126.994540000334382,1287.599999999999909,11118.404500325521440,118610.485937499994179
188,0,12168226.382999999448657,4349129.237130000256002,1283.849999999999909,11016.414550781250000,118583.644531250000000
189,0,12168381.124800000339746,4349131.477880000136793,1279.349999999999909,10928.032519531250728,118556.794140625002910
190,0,12168535.866699999198318,4349133.716789999976754,1284.299999999999955,10841.005517578125364,118527.310546875000000
191,0,12168690.608699999749660,4349135.953850000165403,1286.000000000000000,10755.366503906250728,118497.540624999994179
192,0,12168845.350899999961257,4349138.189070000313222,1287.500000000000000,10671.148779296874636,118469.894140624994179
193,0,12169000.093299999833107,4349140.422460000030696,1285.750000000000000,10579.602945963541060,118442.372265625002910
194,0,12169154.835799999535084,4349142.654000000096858,1284.000000000000000,10489.024121093749272,118415.032031249997090
195,0,12169309.578500000759959,4349144.883700000122190,1285.142857142857110,10408.272363281250364,118366.939843750005821
196,0,12169464.321299999952316,4349147.111560000106692,1286.200000000000045,10329.067773437500364,118281.227539062500000
197,0,12169619.064300000667572,4349149.337570000439882,1291.000000000000000,10251.446142578124636,118174.790624999994179
198,0,12169773.807399999350309,4349151.561750000342727,1290.099999999999909,10175.443798828124272,118091.672656249997090
199,0,12169928.550699999555945,4349153.784079999662936,1287.700000000000045,10097.087763247282055,118013.815234374997090
200,0,12170083.294199999421835,4349156.004580000415444,1291.500000000000000,10001.680797230113967,117936.097265624994179
201,0,12170238.037799999117851,4349158.223229999653995,1290.099999999999909,9916.989453124999272,117858.519531250000000
